customer_id	store_name	transaction_date	aisle	product_name	quantity	unit_price	total_amount	discount_amount	final_amount	loyalty_points
2824	GreenGrocer Plaza	26-08-2023	Produce	Pasta	2	7.46	14.92	0	14.92	377
5506	ValuePlus Market	13-02-2024	Dairy	Cheese	1	1.85	1.85	3.41	-1.56	111
4657	ValuePlus Market	23-11-2023	Bakery	Onions	4	7.38	29.52	4.04	25.48	301
2679	SuperSave Central	13-01-2025	Snacks & Candy	Cereal	3	5.5	16.5	1.37	15.13	490
9935	GreenGrocer Plaza	13-10-2023	Canned Goods	Orange Juice	5	8.66	43.3	1.5	41.8	22
7912	Corner Grocery	31-08-2023	Dairy	Onions	3	25.04	75.12	1.77	73.35	316
1488	GreenGrocer Plaza	18-10-2023	Produce	Ground Beef	3	29.56	88.68	2.52	86.16	437
4582	City Fresh Store	03-02-2024	Health & Wellness	Orange Juice	2	11.73	23.46	0	23.46	107
9279	GreenGrocer Plaza	16-11-2024	Household Items	Apples	5	22.13	110.65	11.07	99.58	83
1434	QuickStop Market	15-10-2024	Health & Wellness	Onions	2	20.84	41.68	8.34	33.34	431
4257	FreshMart Downtown	13-02-2025	Canned Goods	Tomatoes	3	2.91	8.73	1.75	6.98	467
9928	City Fresh Store	27-06-2024	Snacks & Candy	Salmon	2	8.67	17.34	0	17.34	126
4611	Corner Grocery	20-07-2024	Household Items	Tomatoes	3	7.35	22.05	4.02	18.03	70
5557	GreenGrocer Plaza	26-04-2025	Meat & Seafood	Apples	4	18.29	73.16	4.98	68.18	197
1106	ValuePlus Market	18-03-2025	Frozen Foods	Onions	1	20.72	20.72	0	20.72	58
3615	MegaMart Westside	30-01-2025	Dairy	Rice	4	5.58	22.32	4.05	18.27	1
7924	ValuePlus Market	27-04-2024	Dairy	Rice	5	18.65	93.25	18.65	74.6	78
5552	ValuePlus Market	05-12-2023	Personal Care	Bananas	5	10.39	51.95	7.79	44.16	9
4527	QuickStop Market	22-03-2025	Bakery	Milk	2	26.45	52.9	3.93	48.97	484
6514	GreenGrocer Plaza	25-10-2023	Personal Care	Eggs	2	20.12	40.24	6.04	34.2	484
2519	ValuePlus Market	28-05-2024	Household Items	Cheese	2	27.93	55.86	0	55.86	386
2584	QuickStop Market	11-05-2024	Snacks & Candy	Orange Juice	4	27.08	108.32	21.66	86.66	231
6635	FamilyFood Express	17-11-2024	Dairy	Cereal	1	18.05	18.05	1.28	16.77	117
5333	FreshMart Downtown	24-04-2025	Bakery	Bread	1	25.92	25.92	3.89	22.03	36
1711	City Fresh Store	23-02-2025	Bakery	Onions	2	21.97	43.94	8.79	35.15	451
8527	City Fresh Store	26-09-2024	Snacks & Candy	Yogurt	1	3.8	3.8	0.38	3.42	220
3045	Corner Grocery	23-07-2025	Beverages	Milk	1	2.75	2.75	1.99	0.76	372
7201	FamilyFood Express	07-10-2023	Personal Care	Salmon	2	13.22	26.44	5.29	21.15	142
5803	GreenGrocer Plaza	12-05-2025	Beverages	Onions	1	2.46	2.46	4.71	-2.25	276
6925	FamilyFood Express	28-10-2024	Meat & Seafood	Cheese	4	14.95	59.8	1.66	58.14	442
4150	FreshMart Downtown	04-02-2025	Snacks & Candy	Pasta	4	9.26	37.04	7.41	29.63	356
2139	FamilyFood Express	11-09-2023	Frozen Foods	Yogurt	1	17.79	17.79	0	17.79	277
4733	MegaMart Westside	29-03-2025	Produce	Milk	5	14.82	74.1	4.84	69.26	470
5741	GreenGrocer Plaza	07-10-2023	Meat & Seafood	Bread	5	2.96	14.8	1.48	13.32	441
4814	GreenGrocer Plaza	10-06-2025	Household Items	Ground Beef	5	18.23	91.15	9.12	82.03	317
